eventId,title,dateTime,location,capacity,status,eventType,topic,speakerName,ageRestriction
E203,Research Communication Seminar,2026-09-20T11:00,SSC 2315,5,ACTIVE,Seminar,,Dr. Fattaneh Zarrinkalam,
E302,Jazz Night,2026-09-24T20:00,War Memorial Hall,3,ACTIVE,Concert,,,16+
E401,Cancelled Data Science Workshop,2026-09-28T15:00,Library 103,3,ACTIVE,Workshop,Machine Learning Basics,,
E303,Indie Music Showcase,2026-09-26T18:30,Rozanski 101,1,ACTIVE,Concert,,,18+
E402,Cancelled Security Seminar,2026-09-29T12:00,THRN 1300,2,ACTIVE,Seminar,,Dr. Samer Lahoud,
E403,Cancelled Charity Concert,2026-09-30T19:30,UC Courtyard,2,ACTIVE,Concert,,,13+
E101,Intro to Git,2026-09-10T14:30,Library 101,3,ACTIVE,Workshop,Version Control Basics,,
E102,Java OOP Bootcamp,2026-09-12T10:00,ENG 200,2,ACTIVE,Workshop,Object-Oriented Design,,
E201,AI Safety Talk,2026-09-16T10:00,MACN 113,3,ACTIVE,Seminar,,Dr. Noor,
E103,Data Visualization Lab,2026-09-14T15:00,Library 202,4,ACTIVE,Workshop,Effective Charts in Java,,
E202,Cybersecurity Trends,2026-09-18T13:00,THRN 1200,2,ACTIVE,Seminar,,Prof. Ali Dehghantanha,
E301,Fall Welcome Concert,2026-09-22T19:00,UC Hall,2,ACTIVE,Concert,,,All Ages
